共有53个编码点:
编号:		 坐标:			十进制编码:
1		1137	330		369
2		3116	346		15343
3		333	407		355
4		3522	503		295
5		1372	573		29
6		2403	674		14063
7		2905	730		14047
8		888	736		15871
9		3370	780		8119
10		1118	879		187
1001		575	893		0
11		2573	905		429
12		3373	940		383
13		2724	1048		5943
1002		1804	1103		0
1003		1408	1127		0
1004		2216	1127		0
1005		365	1139		0
14		3040	1141		407
1006		960	1159		0
1007		3370	1252		0
1008		701	1258		0
1009		3684	1359		0
1010		1520	1431		0
1011		1148	1451		0
1012		2452	1459		0
1013		1996	1487		0
1014		551	1498		0
1015		2900	1563		0
1016		3392	1575		0
1017		893	1630		0
1018		323	1714		0
1019		1748	1739		0
1020		2672	1827		0
1021		2236	1835		0
1022		1260	1859		0
1023		3020	1879		0
1024		600	1883		0
1025		3376	1891		0
1026		3656	1935		0
1027		896	1947		0
1028		1919	1954		0
1029		576	2135		0
1030		245	2146		0
1031		1624	2171		0
1032		1244	2195		0
1033		2036	2195		0
1034		3016	2207		0
1035		2400	2215		0
1036		2688	2215		0
1037		3328	2215		0
1038		3628	2231		0
1039		920	2247		0
