num		x1		y1		x2		y2		x3		y3
1		3162		359		3116		346		355		412
2		3568		516		3522		503		0		0
3		2449		687		2403		674		0		0
4		2951		743		2905		730		0		0
5		3416		793		3370		780		0		0
6		2619		918		2573		905		0		0
7		3419		953		3373		940		0		0
8		2770		1061		2724		1048		0		0
9		3086		1154		3040		1141		0		0
10		0		0		1137		330		3450		523
11		0		0		333		407		2646		601
12		0		0		1372		573		0		0
13		0		0		888		736		3201		930
14		0		0		1118		879		3431		1073
15		0		0		0		0		885		372
16		0		0		0		0		1144		659
17		0		0		0		0		3685		768
18		0		0		0		0		702		778
19		0		0		0		0		1399		793
20		0		0		0		0		293		886
21		0		0		0		0		705		1012
22		0		0		0		0		1399		1075
23		0		0		0		0		992		1088
1001		2108		1219		575		893		2964		1347		
1002		2440		1251		1804		1103		2944		1043		
1003		1752		1275		1408		1127		2712		1707		
1004		812		1363		2216		1127		2104		1195		
1005		2092		1503		365		1139		0		0		
1006		3612		1527		3656		1935		1716		1387		
1007		1280		1531		960		1159		0		0		
1008		2544		1567		701		1258		2912		2339		
1009		492		1583		1520		1431		3492		1347		
1010		892		1655		1148		1451		0		0		
1011		1736		1659		2452		1459		2552		1435		
1012		1152		1855		1996		1487		2528		2071		
1013		1464		1863		551		1498		0		0		
1014		2268		1863		893		1630		0		0		
1015		2028		1875		323		1714		3640		1915		
1016		668		1903		1748		1739		3548		1623		
1017		281		1972		2236		1835		2588		2343		
1018		908		1995		1260		1859		0		0		
1019		1804		2047		600		1883		0		0		
1020		612		2107		896		1947		0		0		
1021		3572		2115		3370		1252		0		0		
1022		2480		2123		3684		1359		0		0		
1023		1484		2199		1919		1954		0		0		
1024		2188		2199		576		2135		0		0		
1025		1124		2223		245		2146		2900		2031		
1026		263		2230		1624		2171		0		0		
1027		604		2271		1244		2195		0		0		
1028		0		0		2900		1563		0		0		
1029		0		0		3392		1575		0		0		
1030		0		0		2672		1827		0		0		
1031		0		0		3020		1879		0		0		
1032		0		0		3376		1891		1156		2303		
1033		0		0		2036		2195		3604		2191		
1034		0		0		3016		2207		0		0		
1035		0		0		2400		2215		0		0		
1036		0		0		2688		2215		3048		1619		
1037		0		0		3328		2215		0		0		
1038		0		0		3628		2231		2596		1207		
1039		0		0		920		2247		0		0		
1040		0		0		0		0		509		1330		
1041		0		0		0		0		1196		1403		
1042		0		0		0		0		2146		1450		
1043		0		0		0		0		800		1487		
1044		0		0		0		0		500		1619		
1045		0		0		0		0		1884		1659		
1046		0		0		0		0		2356		1683		
1047		0		0		0		0		1168		1687		
1048		0		0		0		0		1500		1747		
1049		0		0		0		0		896		1787		
1050		0		0		0		0		432		1943		
1051		0		0		0		0		764		2007		
1052		0		0		0		0		1104		2011		
1053		0		0		0		0		2196		2019		
1054		0		0		0		0		3232		2023		
1055		0		0		0		0		1848		2039		
1056		0		0		0		0		1464		2055		
1057		0		0		0		0		504		2243		
1058		0		0		0		0		848		2275		
1059		0		0		0		0		1516		2307		
1060		0		0		0		0		1876		2315		
1061		0		0		0		0		3312		2335		
1062		0		0		0		0		2224		2339
